text,label
eu não me senti humilhado,0
posso passar de tão desesperado a tão esperançoso só por estar perto de alguém que se importa e está acordado,0
"estou aproveitando um minuto para postar, me sinto ganancioso e errado",2
estou me sentindo mal-humorado,2
"Tenho me sentido um pouco sobrecarregado ultimamente, não sei por que isso aconteceu",0
estou na Petronas há anos sinto que a Petronas teve um bom desempenho e obteve um lucro enorme,1
eu sinto que tenho que fazer com que o sofrimento que estou vendo signifique alguma coisa,0
sinto que correr é uma experiência divina e que posso esperar ter algum tipo de encontro espiritual,1
acho que é a época do ano mais fácil para se sentir insatisfeito,2
"sinto pouca energia, só estou com sede",0
"tenho imensa simpatia pelo ponto geral, mas como um possível proto-escritor tentando encontrar tempo para escrever nos cantos da vida e sem nenhum sinal de um agente e muito menos de um contrato de publicação, isso parece um pouco precioso",1
não me sinto tranquilo a ansiedade está de cada lado,1
eu realmente não me senti tão envergonhado,0
eu me sinto muito patético na maior parte do tempo,0
comecei a me sentir sentimental em relação às bonecas que tinha quando criança e então comecei uma coleção de bonecas barbie vintage dos anos sessenta,0
sinto-me irritado e rejeitado sem que ninguém faça ou diga nada,2
tenho a sensação de que ela se divertiu e ficou encantada,1
"consegui ajudar chai lifeline com seu apoio e incentivo, é uma sensação ótima e estou muito feliz por você ter conseguido me ajudar",1
eu já sinto que estraguei tudo porque normalmente não como nada de manhã,2
"eu ainda amo meu filho e desejo o melhor para ele, não posso mais tolerar o efeito que bm tem em nossas vidas e o fato disso transformou meu filho em uma pessoa amarga e zangada que nem sempre é particularmente gentil com as pessoas ao seu redor quando ele está se sentindo estressado",0
eu me sinto tão inibido na cozinha de outra pessoa como se estivesse pintando a foto de outra pessoa,0
fico sobrecarregado e me sinto derrotado,0
"eu me sinto um pouco chocado por ela sentir que precisa explicar em largura e comprimento as medidas de seu corpo, etc.",2
"eu me sinto mais superior, uma galinha morta ou uma criança de luto",1
fico tonta por me sentir elegante com uma saia lápis perfeitamente ajustada,1
subi a colina sentindo-me frustrado por ter andado totalmente errado neste percurso e por um fator que nunca me atrapalhou ter feito uma grande diferença durante o dia,2
"não consigo imaginar um cenário da vida real em que eu estivesse emocionalmente conectado o suficiente com alguém para me sentir totalmente aceito e seguro, onde fosse moralmente aceitável para mim ter contato físico próximo e prolongado e onde o sexo não fosse esperado posteriormente",1
"não tenho certeza do que me faria sentir contente, se alguma coisa",1
tenho sentido a necessidade de ser criativo,1
"no entanto, quero que você saiba que se alguém está fazendo algo com que você se sinta menos, então seu esplêndido eu se afaste dessa pessoa",1
"sinto-me um pouco rude escrevendo para um senhor idoso pedindo presentes porque me sinto um pouco ganancioso, mas o que é o Natal senão uma leve ganância",2
preciso de você preciso de alguém preciso ser protegido e me sentir seguro sou pequeno agora me encontro em uma época sem palavras,1
"pretendo compartilhar com vocês minhas histórias do dia a dia, viagens, aventuras, inspirações e criações artesanais e espero que você também se sinta inspirado",1
"já tenho minhas árvores de natal montadas, tenho duas e estou me sentindo festivo, o que tenho certeza que está me estimulando a começar a ler este livro",1
"Eu usei-o uma vez sozinho com um pouco de corretivo e nos dias em que me sinto corajoso, mas não quero ficar pálido, então é perfeito",1
eu me sinto fortemente apaixonado quando algum idiota decide nos cutucar e tirar sarro de nós,1
"eu estava me sentindo tão desanimado que já estamos roubando Peter para pagar Paul para pegar nossa vaca este ano, mas não podemos nos dar ao luxo de não pegar a vaca dessa maneira",0
"eu estava me sentindo apático pela necessidade de coisas novas, algo diferente",0
