text,label
"Não suporto mais as desculpas vazias, chega!",2
"Essa atitude é inadmissível, estou furioso!",2
"Estou cansado de ser ignorado e subestimado constantemente.",2
"Não aguento mais lidar com pessoas tão irresponsáveis!",2
"Essa situação é revoltante, algo precisa ser feito agora mesmo.",2
"Você sempre age sem pensar, isso me deixa irritado.",2
"Estou tão irritado que mal consigo articular as palavras.",2
"Não posso acreditar que isso aconteceu de novo, estou enfurecido!",2
"Essa injustiça é insuportável, não posso aceitar.",2
"Estou farto de lidar com pessoas tão egoístas e insensíveis.",2
"Isso é inaceitável! Estou farto de lidar com isso.", 2
"Não aguento mais essa situação, preciso desabafar.", 2
"Você sempre faz isso e nunca aprende! Estou irritado.", 2
"Meu coração está pesado e a tristeza parece não ter fim.", 0
"Perdi alguém que amava profundamente, a dor é avassaladora.", 0
"Às vezes, a solidão é mais dolorosa do que qualquer coisa.", 0
"As expectativas não correspondidas me deixaram profundamente triste.", 0
"Sinto-me desanimado diante dos desafios que enfrento.", 0
"Às vezes, a tristeza surge sem razão aparente, e é difícil superar.", 0
"A sensação de perda é como um buraco no meu peito.", 0
"Essa notícia é devastadora, não sei como lidar com isso.", 0
"A melancolia tomou conta de mim, e parece não ter fim.", 0
"A saudade é uma ferida que persiste, mesmo com o tempo.", 0
"Sinto-me solitário, mesmo cercado por pessoas.", 0
"As coisas não estão indo como eu esperava, e isso me entristece.", 0
"Perdi algo muito importante, e a dor é avassaladora.", 0
"Recebi uma surpresa incrível e estou radiante!", 1
"Consegui alcançar um objetivo de longo prazo, estou nas nuvens.", 1
"Passar tempo com minha família me enche de alegria.", 1
"Encontrei a pessoa dos meus sonhos, e a felicidade é imensa.", 1
"A sensação de realização é maravilhosa, estou muito feliz.", 1
"Cada pequena conquista me faz sorrir de orelha a orelha.", 1
"Estou em êxtase com as boas notícias que recebi hoje.", 1
"A alegria de estar rodeado por amigos verdadeiros é incomparável.", 1
"Rir até as lágrimas escorrerem é a melhor terapia.", 1
"A beleza dos momentos simples da vida me enche de felicidade.", 1
"Estou radiante com as boas notícias que recebi hoje!", 1
"Passar tempo com as pessoas que amo me faz incrivelmente feliz.", 1
"Conquistei um objetivo importante e estou nas nuvens.", 1
"Estou completamente irritado com essa situação absurda!", 2
"Não suporto mais lidar com pessoas tão teimosas e irritantes.", 2
"Odeio quando as coisas não saem como planejado.", 2
"Estou furioso com a falta de respeito e consideração.", 2
"Essa atitude me deixa extremamente irritado e frustrado.", 2
"Me sinto triste por não conseguir alcançar meus objetivos.", 0
"Estou chateado com a perda de algo tão valioso para mim.", 0
"A sensação de estar deprimido é avassaladora.", 0
"Fico triste ao ver a injustiça acontecendo ao meu redor.", 0
"Essa notícia me deixou profundamente triste e abalado.", 0
"Estou tão feliz por ter alcançado esse marco tão esperado.", 1
"A alegria de estar ao lado de quem amo é indescritível.", 1
"Me sinto contente com as pequenas conquistas do dia a dia.", 1
"Receber boas notícias sempre me enche de alegria.", 1
"É incrível como as coisas simples da vida podem me fazer tão feliz.", 1
"Você me traiu! Eu nunca mais vou te perdoar!", 2
"Pare de me irritar! Eu já estou no meu limite!", 2
"Isso é um absurdo! Eu não vou tolerar isso!", 2
"Que droga! Tudo está dando errado hoje!", 2
"Eu vou explodir se não me acalmar agora!", 2
"Eu não aguento mais essa dor.", 0
"A vida é tão injusta.", 0
"Me sinto tão sozinho.", 0
"Nada me parece mais interessante.", 0
"Perdi a esperança.", 0
"Eu te amo muito!", 1
"Este é o melhor dia da minha vida!", 1
"Finalmente consegui o que queria!", 1
"Me sinto tão feliz e realizado!", 1
"A vida é maravilhosa!", 1
"Estou farto de lidar com essa incompetência constante!", 2
"Essa falta de consideração me irrita profundamente.", 2
"Odeio quando as promessas são quebradas sem remorso.", 2
"Estou extremamente irritado com a falta de cooperação.", 2
"A arrogância dessa pessoa me deixa furioso!", 2
"Perder alguém querido é uma dor que corta profundamente.", 0
"Às vezes, a tristeza se instala sem aviso prévio.", 0
"Estou chateado com a sensação de estar perdido.", 0
"A tristeza me envolve quando olho para o passado.", 0
"Sinto uma tristeza inexplicável no fundo do meu ser.", 0
"A conquista desse objetivo me enche de felicidade.", 1
"Estou radiante com as boas notícias que recebi hoje!", 1
"A alegria de passar tempo com amigos é incomparável.", 1
"Me sinto feliz por fazer o que amo todos os dias.", 1
"A felicidade está nas pequenas coisas da vida.", 1
"Não suporto a falta de comprometimento nesse projeto!", 2
"Essa atitude desrespeitosa é uma afronta, estou furioso!", 2
"Estou irritado com a falta de consideração pelos outros.", 2
"Odeio quando as pessoas agem sem pensar nas consequências.", 2
"A incompetência contínua está me deixando extremamente irritado.", 2
"Essa injustiça é revoltante, não posso aceitar.", 2
